gid,osm_id,source,x1,y1,target,x2,y2,length_m
12,32559474,16608,114.1893168,22.3838967,69827,114.1892404,22.3838244,11.2250364852154
14,40101343,58110,113.1930905,23.1440722,62977,113.1930824,23.1439349,15.2280411116529
15,40954707,45473,114.0272487,22.5288852,62240,114.0279943,22.5284814,88.7859609105074
17,45664291,26518,114.1241153,22.5413141,73710,114.1231532,22.5405549,129.85621421409
25,49214123,66753,113.4156308,23.3873192,60934,113.4156361,23.3869973,35.6543665707492
44,89141484,48671,114.1459995,22.2887491,40218,114.1475739,22.2886077,162.998627792628
65,103511002,89955,114.3821475,23.2032889,16285,114.3821043,23.2034764,21.2307222733155
101,155865596,54963,113.4303896,22.7598917,15378,113.4298932,22.7599249,51.1141478268585
102,156183685,58352,112.5390483,24.9984154,42224,112.5377333,24.9971775,190.857237776055
105,157650268,64869,114.0842601,22.5376136,42950,114.0829288,22.5375451,137.158663332185
119,166637321,97010,117.3794392,23.8901274,68869,117.3804431,23.8898236,107.630051929221
126,40932651,68171,114.0126238,22.5310811,95911,114.0128902,22.5300803,114.164292211368
136,54675542,12424,113.5989279,23.5298029,9622,113.5985618,23.5295158,49.0785674344934
150,100447844,30697,114.1389645,22.3370852,41735,114.1387226,22.3371497,25.9230115915099
175,156183816,20109,112.5412409,24.9967696,85326,112.5417552,24.9963429,70.21283333193
187,4338869,93141,114.1629391,22.2486133,37051,114.1638152,22.2484774,91.5547102673312
188,4338869,37051,114.1638152,22.2484774,5057,114.1643441,22.2484039,55.1238677867188
202,5020538,86512,114.1783817,22.3048118,5833,114.1783089,22.30447,38.5852065242357
219,9470917,18726,115.9651166,22.9688159,93676,115.9593921,23.082455,12701.1860295079
220,16278486,20251,114.1564651,22.2851568,62955,114.1565455,22.2849803,21.254390094334
222,16281867,75828,114.1609714,22.2819221,92237,114.1616972,22.281742,77.4118327353513
223,16281867,92237,114.1616972,22.281742,4200,114.1622539,22.2815888,59.8277383895435
224,16281867,4200,114.1622539,22.2815888,26648,114.1624976,22.281519,26.2774577079047
249,22732384,40068,114.18039,22.270548,95883,114.1802328,22.2713619,91.6358640486401
263,22323341,41628,114.1907139,22.2851243,44910,114.1908477,22.2851292,13.799357503728
279,22323341,78684,114.1902535,22.2850849,41628,114.1907139,22.2851243,47.6464517971462
316,23143626,53549,114.2347446,22.3051998,72186,114.2344287,22.3012981,490.24207300004
325,22371280,92661,114.0703351,22.366378,4434,114.0780554,22.3677508,1175.84107380219
389,23298496,91019,114.179124,22.253327,40068,114.18039,22.270548,1921.27167583251
426,23349951,68930,114.2500491,22.3208822,81186,114.2426843,22.3171082,868.235445074746
427,23349952,81186,114.2426843,22.3171082,86618,114.2411147,22.3159827,204.25588826705
428,23349960,29366,114.2301766,22.3099443,86613,114.2304759,22.3097468,37.806601757251
466,23358342,13602,114.1109178,22.3482155,32445,114.0957305,22.3446514,1655.69624827805
467,23368089,81447,114.2606295,22.3156374,82852,114.264098,22.313244,445.073431042762
468,23368093,92256,114.2324719,22.3077038,8293,114.2319155,22.3083116,88.4554029803309
548,23632768,58584,114.1605643,22.2483121,93141,114.1629391,22.2486133,252.087329405625
626,23737298,55533,116.9959354,23.6516131,56251,116.9943302,23.651608,163.771283477152
640,23737297,62905,117.0189639,23.657789,79452,117.0163553,23.6560908,325.950492096406
641,23737298,79452,117.0163553,23.6560908,45698,117.0136723,23.6543537,334.581023860821
642,23737298,45698,117.0136723,23.6543537,92107,117.0034513,23.651619,1107.48708808284
643,23737298,92107,117.0034513,23.651619,95616,117.0029917,23.6516269,46.8983063676977
644,23737298,95616,117.0029917,23.6516269,362,117.0025851,23.6516251,41.4833599997886
645,23737298,362,117.0025851,23.6516251,55533,116.9959354,23.6516131,678.429904180436
741,23856936,2366,110.0810777,20.80233,2923,110.0814338,20.8067202,489.442255959504
742,23856936,2923,110.0814338,20.8067202,86810,110.0784439,20.8311847,2825.34928430616
743,23856936,86810,110.0784439,20.8311847,50433,110.0731267,20.8390975,1046.22081559165
744,23856936,50433,110.0731267,20.8390975,25905,110.0711915,20.850251,1251.23429952461
745,23856936,25905,110.0711915,20.850251,9353,110.0675359,20.8636363,1530.06027444516
746,23856936,9353,110.0675359,20.8636363,54720,110.0621429,20.875282,1416.44190628015
778,23989960,98094,113.9510841,22.2907633,45903,113.9481355,22.2892219,351.144607100353
779,23993375,32834,114.213273,22.37605,5390,114.204724,22.341842,3948.92334866655
780,23993534,82696,114.2115879,22.3774163,74351,114.2105652,22.3786522,173.282109256518
906,24208344,77425,114.2270488,22.3117959,22627,114.2258167,22.3124847,148.244138234319
937,24209281,40997,114.2151436,22.4023114,94697,114.2202086,22.4053505,626.65136625631
941,24210270,75258,114.2126675,22.3166886,438,114.2043462,22.3237329,1263.74161106708
1074,24285413,39432,114.2174516,22.4065059,72072,114.2211841,22.4064299,441.52146856766
1075,24285419,95931,114.2222623,22.4070998,4790,114.2218921,22.4066201,65.3810786758727
1076,24285425,43262,114.2163639,22.4072382,41702,114.2124284,22.4106244,553.637124363556
1077,24285432,60704,114.2127522,22.4117571,53406,114.2132764,22.4100593,199.030448604816
1103,24555773,38336,114.0496613,22.6923058,41354,114.0492783,22.6899652,262.168339222461
1104,24555773,41354,114.0492783,22.6899652,13612,114.0487375,22.6859582,447.200017719373
1105,24555780,76086,114.0484969,22.6828984,93989,114.04842,22.6813888,167.359155267472
1106,24555851,74969,114.0641785,22.6773816,61609,114.0634832,22.6778568,88.739078713111
1107,24555882,70236,114.0503597,22.6814918,10575,114.0510807,22.6824896,134.798645138121
1108,24555899,10575,114.0510807,22.6824896,57323,114.0511923,22.6833053,91.4035129647038
1109,24555901,57323,114.0511923,22.6833053,19804,114.044501,22.6837877,901.234467785899
1110,24556223,14200,114.0296488,22.6835666,31392,114.0301458,22.6823226,148.643894095927
1111,24555907,41354,114.0492783,22.6899652,7020,114.0467033,22.6851425,616.995453945641
1112,24555907,7020,114.0467033,22.6851425,93670,114.0435139,22.6838768,367.565296873391
