enter_RoadId,enter_StationId,exit_RoadId,exit_stationId,enter_lat,enter_lon,exit_lat,exit_lon,enter_time,exit_time
34,3,1,16,23.2018483115,113.2581210136,22.9752063091,113.6992263794,Mon Jan 04 13:10:00 EST 2016,Mon Jan 04 17:10:00 EST 2016
1,19,1,13,22.8277697001,113.6984324455,23.0154620538,113.6782407761,Mon Jan 04 13:22:00 EST 2016,Mon Jan 04 17:01:00 EST 2016
1,19,1,15,22.8277697001,113.6984324455,22.9752063091,113.6992263794,Mon Jan 04 13:25:00 EST 2016,Mon Jan 04 17:06:00 EST 2016
1,19,1,15,22.8277697001,113.6984324455,22.9752063091,113.6992263794,Mon Jan 04 13:27:00 EST 2016,Mon Jan 04 17:14:00 EST 2016
51,3,1,10,25.326,112.9563,23.08033,113.59615,Mon Jan 04 13:32:00 EST 2016,Mon Jan 04 17:55:00 EST 2016
47,7,1,6,24.25257839,116.10038,23.1476209071,113.5249257088,Mon Jan 04 13:43:00 EST 2016,Mon Jan 04 18:04:00 EST 2016
73,5,1,19,24.6764,114.9608,22.8277697001,113.6984324455,Mon Jan 04 13:53:00 EST 2016,Mon Jan 04 17:59:00 EST 2016
85,21,1,16,22.81851433,111.401834,22.9752063091,113.6992263794,Mon Jan 04 14:11:00 EST 2016,Mon Jan 04 18:12:00 EST 2016
109,1,1,8,25.26943,112.999435,23.1199760132,113.5650086403,Mon Jan 04 14:25:00 EST 2016,Mon Jan 04 17:47:00 EST 2016
90,29,1,28,23.981704,111.944881,22.6476604205,113.8329291344,Mon Jan 04 14:35:00 EST 2016,Mon Jan 04 18:25:00 EST 2016
109,39,1,40,23.651412,113.231785,22.5170962329,114.0595436096,Mon Jan 04 14:42:00 EST 2016,Mon Jan 04 17:08:00 EST 2016
85,15,1,14,22.7923,111.6193,23.0154620538,113.6782407761,Mon Jan 04 14:43:00 EST 2016,Mon Jan 04 18:25:00 EST 2016
54,7,1,8,22.95792119,112.3162872,23.1199760132,113.5650086403,Mon Jan 04 14:44:00 EST 2016,Mon Jan 04 17:02:00 EST 2016
109,29,1,26,24.180353,113.358548,22.73383,113.84667,Mon Jan 04 14:59:00 EST 2016,Mon Jan 04 17:25:00 EST 2016
115,1,1,8,23.4442,115.9567,23.1199760132,113.5650086403,Mon Jan 04 15:02:00 EST 2016,Mon Jan 04 18:15:00 EST 2016
31,7,1,24,23.22376,113.2978,22.8021,113.78758,Mon Jan 04 15:03:00 EST 2016,Mon Jan 04 17:45:00 EST 2016
45,7,1,10,23.2314,113.1574,23.08033,113.59615,Mon Jan 04 15:16:00 EST 2016,Mon Jan 04 18:13:00 EST 2016
51,3,1,60,25.326,112.9563,23.1443259191,113.398604393,Mon Jan 04 15:16:00 EST 2016,Mon Jan 04 19:47:00 EST 2016
38,2,1,8,23.34853419,116.7516356,23.1199760132,113.5650086403,Mon Jan 04 15:18:00 EST 2016,Mon Jan 04 20:23:00 EST 2016
5,13,1,12,22.80092056,113.0211054,23.0436023367,113.6457753181,Mon Jan 04 15:19:00 EST 2016,Mon Jan 04 17:02:00 EST 2016
55,7,1,26,22.3125623441,113.4627628326,22.73383,113.84667,Mon Jan 04 15:21:00 EST 2016,Mon Jan 04 16:57:00 EST 2016
86,25,1,34,23.26329909,112.7087888,22.590643,113.899411,Mon Jan 04 15:21:00 EST 2016,Mon Jan 04 17:56:00 EST 2016
