col1,col2,col3,col4,Lon,Lat,col7,col8,col9,col10,col11
1,广深高速,2,广氮,113.3998,23.1562,,,,,
1,广深高速,3,火村北,113.5249257088,23.1476209071,,,,,
1,广深高速,4,火村南,113.516600132,23.1474433349,,,,,
1,广深高速,5,萝岗北,113.516600132,23.1474433349,,,,,
1,广深高速,6,萝岗南,113.5249257088,23.1476209071,,,,,
1,广深高速,7,新塘北,113.5650086403,23.1199760132,,,,,
1,广深高速,8,新塘南,113.5650086403,23.1199760132,,,,,
1,广深高速,9,麻涌北,113.59615,23.08033,,,,,
1,广深高速,10,麻涌南,113.59615,23.08033,,,,,
1,广深高速,11,望牛墩北,113.6457753181,23.0436023367,,,,,
1,广深高速,12,望牛墩南,113.6457753181,23.0436023367,,,,,
1,广深高速,13,道滘北,113.6782407761,23.0154620538,,,,,
1,广深高速,14,道滘南,113.6782407761,23.0154620538,,,,,
1,广深高速,15,东莞北,113.6992263794,22.9752063091,,,,,
1,广深高速,16,东莞南,113.6992263794,22.9752063091,,,,,
1,广深高速,17,厚街北,113.68343,22.92997,,,,,
1,广深高速,18,厚街南,113.6815,22.9285,,,,,
1,广深高速,19,太平北,113.6984324455,22.8277697001,,,,,
1,广深高速,20,太平南,113.702852726,22.8248822268,,,,,
1,广深高速,21,太平主线,113.702852726,22.8248822268,,,,,
1,广深高速,23,长安北,113.78397,22.8065,,,,,
1,广深高速,24,长安南,113.78758,22.8021,,,,,
1,广深高速,25,新桥北,113.84722,22.73598,,,,,
1,广深高速,26,新桥南,113.84667,22.73383,,,,,
1,广深高速,27,福永北,113.8329291344,22.6476604205,,,,,
1,广深高速,28,福永南,113.8329291344,22.6476604205,,,,,
1,广深高速,29,鹤洲北,113.8518333435,22.6279945585,,,,,
1,广深高速,30,鹤洲南,113.8518333435,22.6279945585,,,,,
1,广深高速,33,宝安北,113.89924,22.590881,,,,,
1,广深高速,34,宝安南,113.899411,22.590643,,,,,
1,广深高速,35,南头北,113.930897,22.564249,,,,,
1,广深高速,36,南头南,113.92952,22.56433,,,,,
1,广深高速,37,福田北,114.0117573738,22.5373526817,,,,,
1,广深高速,38,福田南,114.0147185326,22.5308320943,,,,,
1,广深高速,40,皇岗,114.0595436096,22.5170962329,,,,,
1,广深高速,41,同乐一,113.920904,22.571788,,,,,
1,广深高速,42,同乐二,113.922284,22.57018,,,,,
1,广深高速,43,同乐三,113.922985,22.569494,,,,,
1,广深高速,45,沙井北,113.8466,22.7107,,,,,
1,广深高速,46,沙井南,113.8446,22.7048,,,,,
1,广深高速,51,南坪北,113.990393,22.547881,,,,,
1,广深高速,52,南坪南,113.98984,22.54734,,,,,
1,广深高速,60,黄村,113.398604393,23.1443259191,,,,,
1,广深高速,61,大观路北,113.39893,23.15549,,,,,
1,广深高速,62,大观路南,113.3999,23.1399,,,,,
2,盐排高速,3,西坑,114.219317,22.605038,,,,,
2,盐排高速,5,横岗,114.1662096977,22.6333618555,,,,,
3,广清高速,3,庆丰,113.21198,23.212708,,,,,
3,广清高速,5,朝阳,113.204817,23.231275,,,,,
3,广清高速,7,江高,113.20162,23.29025,,,,,
3,广清高速,9,聚龙,113.1964,23.318,,,,,
3,广清高速,11,龙山,113.1965,23.3149,,,,,
3,广清高速,13,神山,113.19491,23.33242,,,,,
3,广清高速,15,新华,113.18594,23.37676,,,,,
3,广清高速,17,海布,113.1844,23.4309,,,,,
3,广清高速,19,狮岭,113.1345462799,23.4710407511,,,,,
3,广清高速,21,银盏,113.1052780151,23.5197651133,,,,,
3,广清高速,23,龙塘,113.06223,23.55784,,,,,
3,广清高速,25,清远,113.0247461,23.65030021,,,,,
3,广清高速,27,清远西,113.0213961,23.65353224,,,,,
4,广佛高速,3,横沙,113.1884211,23.15585375,,,,,
4,广佛高速,5,泌冲,113.1740338,23.1458652,,,,,
4,广佛高速,7,沙涌,113.1584287,23.14068854,,,,,
4,广佛高速,9,罗城,113.132185936,23.1323883086,,,,,
4,广佛高速,11,雅瑶,113.1284148,23.11874271,,,,,
4,广佛高速,13,大沥,113.1263119,23.11085165,,,,,
4,广佛高速,15,谢边,113.1010609,23.07396711,,,,,
5,佛开高速,3,张槎,113.0588650703,23.0400678449,,,,,
5,佛开高速,5,南庄,113.04235,22.99729,,,,,
5,佛开高速,7,吉利,113.0316,22.9407,,,,,
5,佛开高速,9,沙头,113.0287,22.9057,,,,,
5,佛开高速,11,龙山,113.0245542526,22.860832834,,,,,
5,佛开高速,13,大雁山,113.0211054,22.80092056,,,,,
5,佛开高速,15,陈山,112.9900854,22.74293363,,,,,
5,佛开高速,17,共和,112.880423069,22.5950533841,,,,,
6,广珠东线,5,珠海站,113.5291,22.4197,,,,,
6,广珠东线,6,下栅站,113.5364,22.4628,,,,,
6,广珠东线,7,翠亨B站,113.5364,22.4625,,,,,
6,广珠东线,9,南朗站,113.4937,22.5156,,,,,
6,广珠东线,11,城区站,113.4651,22.5213,,,,,
6,广珠东线,14,民众B站,113.44408,22.6383,,,,,
6,广珠东线,15,三角B站,113.44921,22.67724,,,,,
6,广珠东线,17,灵山站,113.4891,22.7734,,,,,
6,广珠东线,21,亭角站,113.4821,22.7496,,,,,
6,广珠东线,47,翠亨A站,113.5364,22.4625,,,,,
6,广珠东线,54,民众A站,113.44408,22.6383,,,,,
6,广珠东线,55,三角A站,113.44921,22.67724,,,,,
7,汕梅高速,5,梅南,116.0738913,24.14065194,,,,,
7,汕梅高速,7,畲江,116.0002613,24.02950438,,,,,
7,汕梅高速,9,径义,116.0390892,23.93973857,,,,,
7,汕梅高速,11,附城,116.1313143,23.80133077,,,,,
7,汕梅高速,13,丰顺,116.1809977,23.73224083,,,,,
7,汕梅高速,15,玉湖,116.2392269,23.6954092,,,,,
8,广肇高速,2,三水西站,112.8428059,23.10955167,,,,,
8,广肇高速,5,金利站,112.7783252,23.10433799,,,,,
8,广肇高速,7,蚬岗站,112.6575424,23.06446636,,,,,
8,广肇高速,9,白土站,112.5754615,23.02805189,,,,,
8,广肇高速,10,莲塘站,112.469,22.9851,,,,,
8,广肇高速,11,马安站,112.4241662,22.99999882,,,,,
9,新台高速,9,司前北站,112.8295,22.5021,,,,,
9,新台高速,11,司前南站,112.8321,22.4956,,,,,
9,新台高速,13,牛湾站,112.8108,22.4218,,,,,
9,新台高速,15,大江站,112.8166,22.383,,,,,
9,新台高速,17,台城站,112.8293,22.2537,,,,,
9,新台高速,19,冲篓站,112.8235,22.1597,,,,,
9,新台高速,21,斗山站,112.8596,22.0573,,,,,
10,揭普高速,3,锡场,116.3037361,23.6117459,,,,,
10,揭普高速,5,霖磐,116.251125,23.55757,,,,,
10,揭普高速,7,赤岗,116.187016,23.43529,,,,,
10,揭普高速,9,泥沟,116.140925,23.3352117,,,,,
11,普惠高速,3,池尾,116.110268,23.2784287,,,,,
11,普惠高速,5,高柏,115.996162,23.136954,,,,,
11,普惠高速,7,葵潭,115.9608,23.0667,,,,,
